"Story","Title","Result","Date","Stability","Duration (s)"
"Gorest CURD test with steps","This will create a new User","SUCCESS","2022-06-21T11:51:09.710+01:00[Europe/London]","0.0","10.38"
"Gorest CURD test with steps","This will Fetch user by ID","SUCCESS","2022-06-21T11:51:20.131+01:00[Europe/London]","0.0","0.83"
"Gorest CURD test with steps","This will Fetch user by ID","SUCCESS","2022-06-21T11:51:20.963+01:00[Europe/London]","0.0","0.81"
"Gorest CURD test with steps","This will Delete user by ID","SUCCESS","2022-06-21T11:51:21.776+01:00[Europe/London]","0.0","1.58"
"Gorest CURD test with steps","1. This will Verify if Total record is 20","SUCCESS","2022-06-21T11:51:23.357+01:00[Europe/London]","0.0","0.8"
"Gorest CURD test with steps","2.id 3838 has name =Chaturbhuj Nehru DVM","ERROR","2022-06-21T11:51:24.163+01:00[Europe/London]","0.0","0.83"
"Gorest CURD test with steps","3. id 3838 has email =dvm_chaturbhuj_nehru@pagac.name","ERROR","2022-06-21T11:51:25.020+01:00[Europe/London]","0.0","0.81"
"Gorest CURD test with steps","4.All ID has status =active","SUCCESS","2022-06-21T11:51:25.837+01:00[Europe/London]","0.0","0.77"
"Gorest CURD test with steps","5.id 3829 has gender =female","ERROR","2022-06-21T11:51:26.610+01:00[Europe/London]","0.0","0.8"
"Gorest CURD test with steps","6.id 3819 has gender =female","ERROR","2022-06-21T11:51:27.414+01:00[Europe/London]","0.0","0.76"
